,template,entry_id,mechanism_id
91,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4]-[c&D3&v4&H0&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z0:6]>>[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&!R&z1:4]-[c&D3&v4&H0&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5],[187],[1]
92,([C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2].[O&D1&v2&H1&0*&!R:3])>>([C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:3].[O&D1&v2&H1&0*&!R:2]),"[188, 188, 557]","[1, 2, 2]"
93,[C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&R:2]-[O&D2&v2&H0&0*&R:3]-[C&D3&v4&H1&0*&R&z1:4]>>([C&D3&v4&H0&0*&R&z1:4]=[O&D1&v2&H0&0*&!R:3].[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:2]),"[192, 192]","[2, 1]"
94,([O&D1&v2&H1&0*&!R:1].[P&D4&v5&H0&0*&!R:2]-[O&D2&v2&H0&0*&!R:3])>>([O&D1&v2&H1&0*&!R:3].[P&D4&v5&H0&0*&!R:2]-[O&D2&v2&H0&0*&!R:1]),[194],[1]
95,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2](-[C&D2&v4&H1&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4])-[C&D2&v4&H2&0*&!R&z0:5]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2]-[C&D3&v4&H0&0*&!R&z1:3](=[O&D1&v2&H0&0*&!R:4])-[C&D2&v4&H2&0*&!R&z0:5],[195],[1]
96,([C&D2&v4&H1&0*&!R&z0:1]=[C&D2&v4&H1&0*&!R&z0:2].[O&D1&v2&H1&0*&!R:3])>>[C&D2&v4&H2&0*&R&z0:1]-[C&D3&v4&H1&0*&R&z1:2]-[O&D2&v2&H0&0*&R:3],[196],[1]
97,[*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H1&0*&R&z2:3]-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H0&0*&!R&z2:5]-[O&D1&v2&H1&0*&!R:6].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:8])-[O&D2&v2&H0&0*&!R:9]~[*:10]~[*:11]~[*:12]~[O&D1&v2&H1&0*&!R:13]>>[*:10](~[O&D1&v2&H1&0*&!R:9])~[*:11]~[*:12]~[O&D1&v2&H1&0*&!R:13].[*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H1&0*&R&z2:3]-[O&D2&v2&H0&0*&!R:6]-[C&D3&v4&H0&0*&!R&z2:5].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:8],[197],[1]
98,[C&D3&v4&H0&0*&!R&z3:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])(-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6].[S&D1&v2&H1&0*&!R:7]>>[C&D3&v4&H0&0*&!R&z3:1]-[S&D2&v2&H0&0*&!R:7].[O&D1&v2&H1&0*&!R:6].[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])(-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:5],[198],[1]
99,[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7]-[O&D1&v2&H1&0*&!R:8].[C&D3&v4&H0&0*&!R&z2:9](=[O&D1&v2&H0&0*&!R:10])-[O&D1&v2&H1&0*&!R:11].[N&D1&v3&H2&0*&!R:12]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:11].[C&D3&v4&H0&0*&!R&z2:9](=[O&D1&v2&H0&0*&!R:10])-[N&D2&v3&H1&0*&!R:12].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:8],[199],[1]
100,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7]-[O&D1&v2&H1&0*&!R:8].[C&D2&v4&H2&0*&!R&z0:9]-[C&D3&v4&H0&0*&!R&z2:10]=[O&D1&v2&H0&0*&!R:11].[O&D1&v2&H0&0*&!R:12]=[C&D3&v4&H0&0*&!R&z3:13](-[O&D1&v2&H1&0*&!R:14])-[O&D1&v2&H1&0*&!R:15]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:14])-[O&D1&v2&H1&0*&!R:5].[C&D3&v4&H1&0*&!R&z0:9](-[C&D3&v4&H0&0*&!R&z2:13](=[O&D1&v2&H0&0*&!R:12])-[O&D1&v2&H1&0*&!R:15])-[C&D3&v4&H0&0*&!R&z2:10]=[O&D1&v2&H0&0*&!R:11].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:8],[201],[1]
101,[C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z2:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H1&0*&R&z2:3]-[O&D1&v2&H1&0*&!R:2],[203],[1]
102,[C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&!R:2]-[C&D3&v4&H1&0*&R&z2:3]-[O&D2&v2&H0&0*&R:4].[O&D0&v2&H2&0*&!R:5]>>[C&D3&v4&H1&0*&R&z1:1]-[O&D1&v2&H1&0*&!R:5].[C&D3&v4&H1&0*&R&z2:3](-[O&D1&v2&H1&0*&!R:2])-[O&D2&v2&H0&0*&R:4],"[203, 774, 819]","[2, 1, 1]"
103,([O&D1&v2&H0&0*&!R:1]=[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])-[O&D2&v2&H0&0*&!R:4].[O&D1&v2&H1&0*&!R:5])>>([O&D1&v2&H0&0*&!R:1]=[P&D4&v5&H0&0*&!R:2](-[O&D1&v2&H1&0*&!R:3])-[O&D2&v2&H0&0*&!R:5].[O&D1&v2&H1&0*&!R:4]),[206],[1]
104,[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:3],[215],[1]
105,[O&D0&v2&H2&0*&!R:1].[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4]>>[O&D1&v2&H0&0*&!R:4]=[C&D3&v4&H0&0*&!R&z3:3](-[O&D1&v2&H1&0*&!R:2])-[O&D1&v2&H1&0*&!R:1],"[216, 516, 517]","[1, 1, 1]"
106,[C&D4&v4&H0&0*&!R&z1:1](-[O&D1&v2&H1&0*&!R:2])-[C&D2&v4&H0&0*&!R&z1:3]>>[C&D1&v4&H1&0*&!R&z1:3].[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2],[217],[1]
107,[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z2:2]~[*:3]~[O&D1&v2&H1&0*&!R:4].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z1:6]-[C&D3&v4&H1&0*&!R&z1:7]-[O&D1&v2&H1&0*&!R:8]>>[O&D1&v2&H0&0*&!R:8]=[C&D2&v4&H1&0*&!R&z1:7].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z1:6]-[C&D3&v4&H1&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:1])~[*:3]~[O&D1&v2&H1&0*&!R:4],[219],[1]
108,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H0&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:3],"[220, 220, 220]","[2, 3, 1]"
109,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2]-[C&D3&v4&H1&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4]>>[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z1:2].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H1&0*&!R&z1:3],[221],[1]
110,[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9].[C&D1&v4&H3&0*&!R&z0:10]-[C&D3&v4&H0&0*&!R&z1:11]=[O&D1&v2&H0&0*&!R:12].[O&D1&v2&H0&0*&!R:13]=[C&D3&v4&H0&0*&!R&z3:14](-[O&D1&v2&H1&0*&!R:15])-[O&D1&v2&H1&0*&!R:16]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:15])-[O&D1&v2&H1&0*&!R:5].[O&D1&v2&H0&0*&!R:13]=[C&D3&v4&H0&0*&!R&z2:14](-[O&D1&v2&H1&0*&!R:16])-[C&D2&v4&H2&0*&!R&z0:10]-[C&D3&v4&H0&0*&!R&z1:11]=[O&D1&v2&H0&0*&!R:12].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9],"[223, 223]","[2, 1]"
111,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[S&D2&v2&H0&0*&!R:3].[N&D1&v3&H2&0*&!R:4]>>[N&D2&v3&H1&0*&!R:4]-[C&D3&v4&H0&0*&!R&z2:1]=[O&D1&v2&H0&0*&!R:2].[S&D1&v2&H1&0*&!R:3],"[224, 344, 524, 525]","[1, 1, 1, 2]"
112,[C&D3&v4&H1&0*&!R&z1:1](-[N&D1&v3&H2&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4]>>[C&D2&v4&H2&0*&!R&z1:1]-[N&D1&v3&H2&0*&!R:2].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:3],[225],[1]
113,[C&D3&v4&H0&0*&R&z0:1]1=[C&D2&v4&H1&0*&R&z1:2]-[N&D3&v3&H0&0*&R:3]-[C&D2&v4&H1&0*&R&z1:4]=[C&D2&v4&H1&0*&R&z0:5]-[C&D2&v4&H2&0*&R&z0:6]-1.[C&D3&v4&H0&0*&R&z1:7]=[O&D1&v2&H0&0*&!R:8]>>[C&D3&v4&H1&0*&R&z1:7]-[O&D1&v2&H1&0*&!R:8].[c&D3&v4&H0&0*&R&z0:1]1:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:4]:[n&D3&v4&H0&+&R:3]:[c&D2&v4&H1&0*&R&z1:2]:1,[227],[1]
114,[C&D3&v4&H1&0*&R&z1:1](-[C&D2&v4&H2&0*&!R&z1:2]-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H1&0*&R&z1:4]-[O&D1&v2&H1&0*&!R:5]>>[C&D3&v4&H1&0*&R&z1:1](-[C&D1&v4&H3&0*&!R&z0:2])-[C&D3&v4&H0&0*&R&z1:4]=[O&D1&v2&H0&0*&!R:5].[O&D0&v2&H2&0*&!R:3],"[228, 228]","[2, 1]"
115,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:3].[N&D1&v3&H2&0*&!R:4].[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:6])-[O&D2&v2&H0&0*&!R:7]~[*:8]~[*:9]~[*:10]~[O&D1&v2&H1&0*&!R:11]>>[*:8](~[O&D1&v2&H1&0*&!R:7])~[*:9]~[*:10]~[O&D1&v2&H1&0*&!R:11].[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[N&D2&v3&H1&0*&!R:4].[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:3])-[O&D1&v2&H1&0*&!R:6],[229],[1]
116,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H0&0*&!R&z2:4]-[O&D1&v2&H1&0*&!R:5]>>[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H0&0*&!R&z2:4].[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:3],[231],[1]
117,([C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&!R:2].[O&D1&v2&H1&0*&!R:3])>>([C&D3&v4&H1&0*&R&z1:1]-[O&D2&v2&H0&0*&!R:3].[O&D1&v2&H1&0*&!R:2]),[232],[1]
118,[*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H1&0*&R&z2:3]-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H0&0*&!R&z2:5](=[O&D1&v2&H0&0*&!R:6])-[O&D1&v2&H1&0*&!R:7].[P&D4&v5&H0&0*&!R:8](=[O&D1&v2&H0&0*&!R:9])(-[O&D1&v2&H1&0*&!R:10])-[O&D2&v2&H0&0*&!R:11]~[*:12](~[O&D1&v2&H0&0*&!R:13])~[*:14]~[*:15]~[O&D1&v2&H1&0*&!R:16]>>[*:1](~[O&D1&v2&H1&0*&!R:2])~[C&D3&v4&H1&0*&R&z2:3]-[O&D2&v2&H0&0*&!R:7]-[C&D3&v4&H0&0*&!R&z2:5]=[O&D1&v2&H0&0*&!R:6].[O&D1&v2&H0&0*&!R:13]~[*:12](~[O&D1&v2&H1&0*&!R:11])~[*:14]~[*:15]~[O&D1&v2&H1&0*&!R:16].[P&D4&v5&H0&0*&!R:8](=[O&D1&v2&H0&0*&!R:9])(-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:10],[235],[1]
119,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H1&0*&!R&z1:3]-[C&D3&v4&H0&0*&!R&z2:4](=[O&D1&v2&H0&0*&!R:5])~[*:6]~[O&D1&v2&H1&0*&!R:7]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z2:4](-[C&D2&v4&H2&0*&!R&z1:3])~[*:6]~[O&D1&v2&H1&0*&!R:7],"[236, 236]","[1, 2]"
120,[N&D2&v3&H1&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[N&D1&v3&H2&0*&!R:1].[O&D1&v2&H0&0*&!R:3]=[C&D3&v4&H0&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:4],"[241, 288]","[1, 1]"
121,[O&D0&v2&H2&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])-[O&D2&v2&H0&0*&!R:5]-[C&D2&v4&H2&0*&!R&z1:6]>>[C&D2&v4&H2&0*&!R&z1:6]-[O&D1&v2&H1&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5],[242],[1]
122,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2]-[C&D2&v4&H2&0*&!R&z0:3]>>[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:3]-[C&D2&v4&H2&0*&!R&z0:2],"[245, 335, 388]","[1, 1, 1]"
123,[P&D4&v5&H0&0*&!R:1](-[O&D1&v2&H1&0*&!R:2])-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])(-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:7].[c&D3&v4&H0&0*&R&z1:8]-[O&D1&v2&H1&0*&!R:9]>>[P&D4&v5&H0&0*&!R:1](-[O&D1&v2&H1&0*&!R:9])-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z1:8]-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])(-[O&D1&v2&H1&0*&!R:6])-[O&D1&v2&H1&0*&!R:7],[246],[1]
124,[P&D4&v5&H0&0*&!R:1](-[O&D1&v2&H1&0*&!R:2])-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6].[c&D3&v4&H0&0*&R&z1:7]-[O&D1&v2&H1&0*&!R:8]>>[P&D4&v5&H0&0*&!R:1](-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:2].[c&D3&v4&H0&0*&R&z1:7]-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](=[O&D1&v2&H0&0*&!R:5])-[O&D1&v2&H1&0*&!R:6],[246],[2]
125,[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:3]-[N&D1&v3&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:1]-[N&D1&v3&H2&0*&!R:4],[249],[1]
126,[C&D1&v4&H3&0*&!R&z1:1]-[N&D3&v3&H0&0*&R:2].[S&D1&v2&H1&0*&!R:3]>>[C&D1&v4&H3&0*&!R&z1:1]-[S&D2&v2&H0&0*&!R:3].[N&D2&v3&H1&0*&R:2],[268],[1]
127,([O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:3])-[C&D2&v4&H1&0*&!R&z0:4]=[C&D2&v4&H1&0*&!R&z0:5]-[C&D2&v4&H1&0*&!R&z0:6]=[C&D2&v4&H1&0*&!R&z0:7].[O&D1&v2&H1&0*&!R:8])>>([C&D2&v4&H2&0*&!R&z0:7]-[C&D3&v4&H1&0*&R&z1:6]1-[C&D2&v4&H1&0*&R&z0:5]=[C&D2&v4&H1&0*&R&z0:4]-[C&D3&v4&H0&0*&R&z2:2](=[O&D1&v2&H0&0*&!R:1])-[O&D2&v2&H0&0*&R:3]-1.[O&D1&v2&H1&0*&!R:8]),[269],[2]
128,([O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2]-[C&D3&v4&H1&0*&!R&z2:3]~[*:4](~[O&D1&v2&H1&0*&!R:5])~[C&D2&v4&H2&0*&!R&z2:6]-[O&D2&v2&H0&0*&!R:7].[O&D1&v2&H1&0*&!R:8])>>([O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2]-[C&D3&v4&H1&0*&!R&z2:3]~[*:4](~[O&D1&v2&H1&0*&!R:5])~[C&D2&v4&H2&0*&!R&z2:6]-[O&D2&v2&H0&0*&!R:8].[O&D1&v2&H1&0*&!R:7]),[270],[1]
129,([O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2]-[C&D3&v4&H1&0*&!R&z2:3]~[*:4]~[C&D2&v4&H2&0*&!R&z2:5]-[O&D2&v2&H0&0*&!R:6].[O&D1&v2&H1&0*&!R:7])>>([O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z1:2]-[C&D3&v4&H1&0*&!R&z2:3]~[*:4]~[C&D2&v4&H2&0*&!R&z2:5]-[O&D2&v2&H0&0*&!R:7].[O&D1&v2&H1&0*&!R:6]),[270],[2]
130,[C&D1&v4&H2&0*&!R&z0:1]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:5])~[*:6]~[O&D1&v2&H1&0*&!R:7]>>[*:6](~[O&D1&v2&H1&0*&!R:7])~[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:5])-[C&D2&v4&H2&0*&!R&z1:1]-[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:3],[271],[2]
131,[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z2:2]~[*:3]~[O&D1&v2&H1&0*&!R:4].[O&D1&v2&H0&0*&!R:5]=[C&D3&v4&H0&0*&!R&z2:6]-[C&D2&v4&H2&0*&!R&z0:7]>>[C&D3&v4&H1&0*&!R&z0:7](-[C&D3&v4&H0&0*&!R&z2:6]=[O&D1&v2&H0&0*&!R:5])-[C&D3&v4&H1&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:1])~[*:3]~[O&D1&v2&H1&0*&!R:4],[272],[1]
132,([O&D1&v2&H0&0*&!R:1]~[*:2]~[*:3](~[O&D1&v2&H1&0*&!R:4])~[*:5]~[C&D2&v4&H2&0*&!R&z2:6]-[O&D2&v2&H0&0*&!R:7].[O&D1&v2&H1&0*&!R:8])>>([O&D1&v2&H0&0*&!R:1]~[*:2]~[*:3](~[O&D1&v2&H1&0*&!R:4])~[*:5]~[C&D2&v4&H2&0*&!R&z2:6]-[O&D2&v2&H0&0*&!R:8].[O&D1&v2&H1&0*&!R:7]),[273],[1]
133,[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5]=[O&D1&v2&H0&0*&!R:6]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5]=[O&D1&v2&H0&0*&!R:6].[P&D4&v5&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:2],[282],[1]
134,[C&D2&v4&H1&0*&R&z0:1]=[C&D3&v4&H0&0*&R&z0:2]-[C&D2&v4&H1&0*&R&z0:3]=[C&D2&v4&H1&0*&R&z0:4]-[C&D3&v4&H1&0*&R&z1:5]-[O&D1&v2&H1&0*&!R:6].[N&D1&v3&H2&0*&!R:7]-[C&D3&v4&H0&0*&!R&z2:8]=[O&D1&v2&H0&0*&!R:9]>>[C&D2&v4&H1&0*&R&z0:1]=[C&D3&v4&H0&0*&R&z0:2]-[C&D2&v4&H1&0*&R&z0:3]=[C&D2&v4&H1&0*&R&z0:4]-[C&D3&v4&H1&0*&R&z1:5]-[N&D1&v3&H2&0*&!R:7].[C&D3&v4&H0&0*&!R&z2:8](=[O&D1&v2&H0&0*&!R:9])-[O&D1&v2&H1&0*&!R:6],[283],[1]
135,[C&D3&v4&H1&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:2].[O&D0&v2&H2&0*&!R:3]>>[C&D3&v4&H1&0*&R&z2:1]-[O&D1&v2&H1&0*&!R:3].[O&D1&v2&H1&0*&!R:2],"[285, 397, 559, 560, 561, 658, 690, 831]","[1, 2, 1, 1, 1, 1, 1, 1]"
136,[O&D1&v2&H1&0*&!R:1].[P&D4&v5&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])(-[O&D1&v2&H1&0*&!R:4])-[O&D2&v2&H0&0*&!R:5]~[*:6]~[*:7]~[*:8]~[O&D1&v2&H1&0*&!R:9]>>[*:6](~[O&D1&v2&H1&0*&!R:5])~[*:7]~[*:8]~[O&D1&v2&H1&0*&!R:9].[P&D4&v5&H0&0*&!R:2](=[O&D1&v2&H0&0*&!R:3])(-[O&D1&v2&H1&0*&!R:4])-[O&D2&v2&H0&0*&!R:1],[287],[1]
137,[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4].[C&D3&v4&H0&0*&!R&z1:5](=[O&D1&v2&H0&0*&!R:6])-[C&D3&v4&H0&0*&!R&z2:7]-[O&D1&v2&H1&0*&!R:8]>>[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D4&v4&H0&0*&!R&z1:5](-[O&D1&v2&H1&0*&!R:6])-[C&D3&v4&H0&0*&!R&z2:7]-[O&D1&v2&H1&0*&!R:8].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:3],"[289, 722]","[1, 1]"
138,[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:2]~[*:3](~[O&D1&v2&H1&0*&!R:4])~[O&D1&v2&H1&0*&!R:5].[P&D4&v5&H0&0*&!R:6]-[O&D2&v2&H0&0*&!R:7]~[*:8]~[O&D2&v2&H0&0*&!R:9]-[P&D4&v5&H0&0*&!R:10]=[O&D1&v2&H0&0*&!R:11]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:7]~[*:8]~[O&D2&v2&H0&0*&!R:9]-[P&D4&v5&H0&0*&!R:10]=[O&D1&v2&H0&0*&!R:11].[P&D4&v5&H0&0*&!R:6]-[O&D2&v2&H0&0*&!R:2]~[*:3](~[O&D1&v2&H1&0*&!R:4])~[O&D1&v2&H1&0*&!R:5],[290],[1]
